requirement	clause	pages	source_rows	equations	tests	proofs	status	notes
operation:Convert	4.9.1	32	definition / behavior family	p3109-omega-arithmetic-001,p3109-scalar-Convert,p3109-block-Convert,p3109-scaled-Convert	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Abs	4.10.1	33	definition / behavior family	p3109-omega-arithmetic-002,p3109-omega-arithmetic-003,p3109-omega-arithmetic-004,p3109-scalar-Abs,p3109-block-Abs,p3109-scaled-Abs,p3109-real-expressions-025	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Negate	4.10.1	33	definition / behavior family	p3109-omega-arithmetic-005,p3109-omega-arithmetic-006,p3109-omega-arithmetic-007,p3109-omega-arithmetic-008,p3109-scalar-Negate,p3109-block-Negate,p3109-scaled-Negate,p3109-real-expressions-024	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:CopySign	4.10.2	34	definition / behavior family	p3109-omega-arithmetic-009,p3109-omega-arithmetic-010,p3109-omega-arithmetic-011,p3109-omega-arithmetic-012,p3109-scalar-CopySign,p3109-block-CopySign,p3109-scaled-CopySign	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Add	4.10.3	35	definition / behavior family	p3109-omega-arithmetic-013,p3109-omega-arithmetic-014,p3109-omega-arithmetic-015,p3109-omega-arithmetic-016,p3109-omega-arithmetic-017,p3109-omega-arithmetic-018,p3109-omega-arithmetic-019,p3109-omega-arithmetic-020,p3109-scalar-Add,p3109-block-Add,p3109-scaled-Add,p3109-real-expressions-022	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Subtract	4.10.3	35	definition / behavior family	p3109-omega-arithmetic-021,p3109-scalar-Subtract,p3109-block-Subtract,p3109-scaled-Subtract	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Multiply	4.10.4	36	definition / behavior family	p3109-omega-arithmetic-022,p3109-omega-arithmetic-023,p3109-omega-arithmetic-024,p3109-omega-arithmetic-025,p3109-omega-arithmetic-026,p3109-omega-arithmetic-027,p3109-omega-arithmetic-028,p3109-scalar-Multiply,p3109-block-Multiply,p3109-scaled-Multiply,p3109-real-expressions-023,p3109-real-expressions-028,p3109-real-expressions-029	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Divide	4.10.5	37	definition / behavior family	p3109-omega-arithmetic-029,p3109-omega-arithmetic-030,p3109-omega-arithmetic-031,p3109-omega-arithmetic-032,p3109-omega-arithmetic-033,p3109-omega-arithmetic-034,p3109-omega-arithmetic-035,p3109-scalar-Divide,p3109-block-Divide,p3109-scaled-Divide,p3109-real-expressions-026,p3109-real-expressions-027,p3109-real-expressions-030	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:FMA	4.10.6	38	definition / behavior family	p3109-omega-arithmetic-037,p3109-scalar-FMA,p3109-block-FMA,p3109-scaled-FMA	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:FAA	4.10.7	39	definition / behavior family	p3109-omega-arithmetic-038,p3109-scalar-FAA,p3109-block-FAA,p3109-scaled-FAA	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Sqrt	4.10.8	40	definition / behavior family	p3109-scalar-Sqrt,p3109-block-Sqrt,p3109-scaled-Sqrt,p3109-omega-elementary-001,p3109-omega-elementary-002,p3109-omega-elementary-035,p3109-omega-elementary-036,p3109-omega-elementary-069	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
