    id	module	property	assumptions	method	backend	session	status	conclusion
smoke-confluence	P3109-PROOF-SMOKE	local confluence	pure constructors; BOOL disabled	CRC	Maude++ 3.5.1 / MFE 3.0	sessions/smoke-crc.txt	proved	All critical pairs joined; locally-confluent.
smoke-sort	P3109-PROOF-SMOKE	sort decrease	pure constructors	CRC	Maude++ 3.5.1 / MFE 3.0	sessions/smoke-crc.txt	proved	The module is sort-decreasing.
smoke-complete	P3109-PROOF-SMOKE	sufficient completeness and soundness	ground weak termination and ground sort decrease remain separate	SCC	Maude++ 3.5.1 / MFE 3.0	sessions/smoke-scc.txt	proved	It is complete and sound; ground weak termination and ground sort-decreasingness not proved by SCC.
smoke-termination	P3109-PROOF-SMOKE	termination	finite constructor terms	manual decreasing call graph in coverage.md	manual / Core Maude 3.5.1		proved	flip removes a defined symbol; decision > highNone/lowNone > overflow.
saturation-confluence	P3109-PROOF-SATURATION	local confluence	pure constructors; BOOL disabled	CRC	Maude++ 3.5.1 / MFE 3.0	sessions/saturation-crc.txt	proved	All critical pairs joined; locally-confluent.
saturation-sort	P3109-PROOF-SATURATION	sort decrease	pure constructors	CRC	Maude++ 3.5.1 / MFE 3.0	sessions/saturation-crc.txt	proved	The module is sort-decreasing.
saturation-complete	P3109-PROOF-SATURATION	sufficient completeness and soundness	ground weak termination and ground sort decrease remain separate	SCC	Maude++ 3.5.1 / MFE 3.0	sessions/saturation-scc.txt	proved	It is complete and sound; ground weak termination and ground sort-decreasingness not proved by SCC.
saturation-termination	P3109-PROOF-SATURATION	termination	finite constructor terms	manual decreasing call graph in coverage.md	manual / Core Maude 3.5.1		proved	flip removes a defined symbol; decision > highNone/lowNone > overflow.
P3109-CODEC-crc-scc	P3109-CODEC	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-CODEC-valid-domain	P3109-CODEC	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-ROUND-crc-scc	P3109-ROUND	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-ROUND-valid-domain	P3109-ROUND	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-SATURATE-crc-scc	P3109-SATURATE	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-SATURATE-valid-domain	P3109-SATURATE	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-OMEGA-ARITHMETIC-crc-scc	P3109-OMEGA-ARITHMETIC	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-OMEGA-ARITHMETIC-valid-domain	P3109-OMEGA-ARITHMETIC	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-OMEGA-EXTREMA-crc-scc	P3109-OMEGA-EXTREMA	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-OMEGA-EXTREMA-valid-domain	P3109-OMEGA-EXTREMA	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-PREDICATES-crc-scc	P3109-PREDICATES	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-PREDICATES-valid-domain	P3109-PREDICATES	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
