source	category	disposition	target	reason	action	status
Lean/.gitignore	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/.lake/build/ir/P3109/Foundations.c	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Foundations.c.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Foundations.setup.json	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Native/Operators.c	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Native/Operators.c.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Native/Operators.setup.json	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Predicates.c	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Predicates.c.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Predicates.setup.json	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Relations/AxiomaticEquality.c	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Relations/AxiomaticEquality.c.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Relations/AxiomaticEquality.setup.json	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Relations/EquationalEquality.setup.json	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Syntax.c	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Syntax.c.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/ir/P3109/Syntax.setup.json	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Foundations.ilean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Foundations.ilean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Foundations.olean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Foundations.olean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Foundations.trace	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Native/Operators.ilean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Native/Operators.ilean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Native/Operators.olean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Native/Operators.olean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Native/Operators.trace	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Predicates.ilean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Predicates.ilean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Predicates.olean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Predicates.olean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Predicates.trace	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Relations/AxiomaticEquality.ilean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Relations/AxiomaticEquality.ilean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Relations/AxiomaticEquality.olean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Relations/AxiomaticEquality.olean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Relations/AxiomaticEquality.trace	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Syntax.ilean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Syntax.ilean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Syntax.olean	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Syntax.olean.hash	Lean	excluded_generated		build artifact	A01	accounted
Lean/.lake/build/lib/lean/P3109/Syntax.trace	Lean	excluded_generated		build artifact	A01	accounted
Lean/Check.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/CheckFoundations.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Foundations.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Congruence.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Equations/Bool.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Equations/Conformance.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Equations/Formats.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Equations/Native.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Equations/SequencesAndBlocks.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Equations/XReal.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Rewriting/Blocks.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Rewriting/Bool.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Rewriting/Conformance.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Rewriting/Formats.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
Lean/P3109/Lemmas/Rewriting/Rationals.lean	Lean	retained_evidence	evidence/obligations.md	source semantics and evidence retain their original scope	A01	accounted
