source_name	profile	parameters	operands	result	target	source_clause	status	public_export	test_reference
Convert	core	fx,fr,rho	x	code	P3109Reference.SpecAPI.Convert	4.9.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	smoke:convert-two
BlockConvert	core	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockConvert	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Convert-NearestTiesToEven
ScaledConvert	core	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledConvert	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Convert-NearestTiesToEven
Abs	core	fx,fr,rho	x	code	P3109Reference.SpecAPI.Abs	4.10.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Abs-0
BlockAbs	core	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockAbs	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Abs-NearestTiesToEven
ScaledAbs	core	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledAbs	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Abs-NearestTiesToEven
Negate	core	fx,fr,rho	x	code	P3109Reference.SpecAPI.Negate	4.10.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Negate-0
BlockNegate	core	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockNegate	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Negate-NearestTiesToEven
ScaledNegate	core	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledNegate	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Negate-NearestTiesToEven
CopySign	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.CopySign	4.10.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-CopySign-0, 0
BlockCopySign	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockCopySign	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-CopySign-NearestTiesToEven
ScaledCopySign	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledCopySign	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-CopySign-NearestTiesToEven
Add	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Add	4.10.3	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Add-0, 0
