source	rule	target	mapping	evidence_scope	source_metadata	guard_and_priority	native_dependencies
contracts/external-bridge.maude	p3109-external-bridge-001	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; parameterized interface; page=31	backendValidCode(C)	P3109-CODEC
contracts/external-bridge.maude	p3109-external-bridge-002	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; parameterized interface; page=31	backendDatum(X)	P3109-CODEC
contracts/external-bridge.maude	p3109-external-bridge-003	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; parameterized interface; page=31	unconditional; enclosing sort/membership restrictions apply	P3109-CODEC
contracts/external-bridge.maude	p3109-external-bridge-004	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; parameterized interface; page=31	unconditional; enclosing sort/membership restrictions apply	P3109-CODEC
contracts/external-format.maude	p3109-external-format-001	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	backendDatum(X)	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-002	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	backendValidCode(C)	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-003	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	backendValidCode(C)	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-004	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	backendDatum(X)	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-005	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	unconditional; enclosing sort/membership restrictions apply	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-006	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	unconditional; enclosing sort/membership restrictions apply	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-007	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	unconditional; enclosing sort/membership restrictions apply	P3109-EXTERNAL-SIGNATURE
contracts/external-format.maude	p3109-external-format-008	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=4.8; 4.14; page=31; 58	unconditional; enclosing sort/membership restrictions apply	P3109-EXTERNAL-SIGNATURE
contracts/real.maude	p3109-real-001	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-002	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-003	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-004	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-005	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-006	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-007	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-008	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-009	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	A =/= realZero	P3109-XREAL
contracts/real.maude	p3109-real-010	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-011	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	lessReal(A, B) /\ lessReal(B, C)	P3109-XREAL
contracts/real.maude	p3109-real-012	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	lessReal(A, B)	P3109-XREAL
contracts/real.maude	p3109-real-013	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	lessReal(A, B) /\ lessReal(realZero, C)	P3109-XREAL
contracts/real.maude	p3109-real-014	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
contracts/real.maude	p3109-real-015	src/contracts.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=3.1; 4.10; interpretation obligation; page=16; 33-48	unconditional; enclosing sort/membership restrictions apply	P3109-XREAL
lib/block-core.maude	p3109-scaled-result	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.8; page=70	unconditional; enclosing sort/membership restrictions apply	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
lib/block-core.maude	p3109-block-core-001	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.2-5.4; page=61-63	unconditional; enclosing sort/membership restrictions apply	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
lib/block-core.maude	p3109-block-core-002	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.2-5.4; page=61-63	unconditional; enclosing sort/membership restrictions apply	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
lib/block-core.maude	p3109-block-core-003	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.2-5.4; page=61-63	unconditional; enclosing sort/membership restrictions apply	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
lib/block-core.maude	p3109-block-core-004	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.2-5.4; page=61-63	validFormat(FX)	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
lib/block-core.maude	p3109-block-core-005	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.2-5.4; page=61-63	validCodes(FX, ccons(C, CS))	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
lib/block-core.maude	p3109-block-core-006	src/operations.jl	family implementation; source guards reviewed	finite source suites; no universal proof	clause=5.2-5.4; page=61-63	unconditional; enclosing sort/membership restrictions apply	P3109-PROJECT; P3109-OMEGA-ARITHMETIC; P3109-SEQUENCE{XRealElt} * (sort Seq{XRealElt} to XSeq, op nil to xnil, op cons to xcons); P3109-SEQUENCE{CodeElt} * (sort Seq{CodeElt} to CodeSeq, op nil to cnil, op cons to ccons)
