source_id	claim	scope	source_status	julia_evidence	remaining_obligation	disposition
smoke-confluence	local confluence	pure constructors; BOOL disabled	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: All critical pairs joined; locally-confluent.	retained; no new universal proof
smoke-sort	sort decrease	pure constructors	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: The module is sort-decreasing.	retained; no new universal proof
smoke-complete	sufficient completeness and soundness	ground weak termination and ground sort decrease remain separate	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: It is complete and sound; ground weak termination and ground sort-decreasingness not proved by SCC.	retained; no new universal proof
smoke-termination	termination	finite constructor terms	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: flip removes a defined symbol; decision > highNone/lowNone > overflow.	retained; no new universal proof
saturation-confluence	local confluence	pure constructors; BOOL disabled	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: All critical pairs joined; locally-confluent.	retained; no new universal proof
saturation-sort	sort decrease	pure constructors	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: The module is sort-decreasing.	retained; no new universal proof
saturation-complete	sufficient completeness and soundness	ground weak termination and ground sort decrease remain separate	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: It is complete and sound; ground weak termination and ground sort-decreasingness not proved by SCC.	retained; no new universal proof
saturation-termination	termination	finite constructor terms	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: flip removes a defined symbol; decision > highNone/lowNone > overflow.	retained; no new universal proof
P3109-CODEC-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-CODEC-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-ROUND-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-ROUND-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-SATURATE-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-SATURATE-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-OMEGA-ARITHMETIC-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-OMEGA-ARITHMETIC-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-OMEGA-EXTREMA-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-OMEGA-EXTREMA-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-PREDICATES-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-PREDICATES-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-ORDER-NEXT-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-ORDER-NEXT-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-BLOCK-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
